"Plot Title: 20291429"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20291429, SEN S/N: 20291429)","Coupler Detached (LGR S/N: 20291429)","Coupler Attached (LGR S/N: 20291429)","Host Connected (LGR S/N: 20291429)","Stopped (LGR S/N: 20291429)","End Of File (LGR S/N: 20291429)"
1,19/05/02 05:19:58  PM,20.698,Logged,,,,
2,19/05/02 05:34:58  PM,13.449,,,,,
3,19/05/02 05:49:58  PM,15.342,,,,,
4,19/05/02 06:04:58  PM,12.751,,,,,
5,19/05/02 06:19:58  PM,11.856,,,,,
6,19/05/02 06:34:58  PM,10.051,,,,,
7,19/05/02 06:49:58  PM,3.591,,,,,
8,19/05/02 07:04:58  PM,3.538,,,,,
9,19/05/02 07:19:58  PM,3.985,,,,,
10,19/05/02 07:34:58  PM,3.459,,,,,
11,19/05/02 07:49:58  PM,3.433,,,,,
12,19/05/02 08:04:58  PM,2.530,,,,,
13,19/05/02 08:19:58  PM,2.396,,,,,
14,19/05/02 08:34:58  PM,2.343,,,,,
15,19/05/02 08:49:58  PM,2.343,,,,,
16,19/05/02 09:04:58  PM,2.289,,,,,
17,19/05/02 09:19:58  PM,2.316,,,,,
18,19/05/02 09:34:58  PM,2.316,,,,,
19,19/05/02 09:49:58  PM,2.289,,,,,
20,19/05/02 10:04:58  PM,2.289,,,,,
21,19/05/02 10:19:58  PM,2.289,,,,,
22,19/05/02 10:34:58  PM,2.289,,,,,
23,19/05/02 10:49:58  PM,2.343,,,,,
24,19/05/02 11:04:58  PM,2.316,,,,,
25,19/05/02 11:19:58  PM,2.343,,,,,
26,19/05/02 11:34:58  PM,2.343,,,,,
27,19/05/02 11:49:58  PM,2.343,,,,,
28,19/05/03 12:04:58  AM,2.370,,,,,
29,19/05/03 12:19:58  AM,2.423,,,,,
30,19/05/03 12:34:58  AM,2.423,,,,,
31,19/05/03 12:49:58  AM,2.503,,,,,
32,19/05/03 01:04:58  AM,2.530,,,,,
33,19/05/03 01:19:58  AM,2.557,,,,,
34,19/05/03 01:34:58  AM,2.610,,,,,
35,19/05/03 01:49:58  AM,2.637,,,,,
36,19/05/03 02:04:58  AM,2.637,,,,,
37,19/05/03 02:19:58  AM,2.610,,,,,
38,19/05/03 02:34:58  AM,2.637,,,,,
39,19/05/03 02:49:58  AM,2.690,,,,,
40,19/05/03 03:04:58  AM,2.690,,,,,
41,19/05/03 03:19:58  AM,2.664,,,,,
42,19/05/03 03:34:58  AM,2.637,,,,,
43,19/05/03 03:49:58  AM,2.610,,,,,
44,19/05/03 04:04:58  AM,2.584,,,,,
45,19/05/03 04:19:58  AM,2.584,,,,,
46,19/05/03 04:34:58  AM,2.557,,,,,
47,19/05/03 04:49:58  AM,2.557,,,,,
48,19/05/03 05:04:58  AM,2.584,,,,,
49,19/05/03 05:19:58  AM,2.637,,,,,
50,19/05/03 05:34:58  AM,2.584,,,,,
51,19/05/03 05:49:58  AM,2.610,,,,,
52,19/05/03 06:04:58  AM,2.637,,,,,
53,19/05/03 06:19:58  AM,2.610,,,,,
54,19/05/03 06:34:58  AM,2.557,,,,,
55,19/05/03 06:49:58  AM,2.557,,,,,
56,19/05/03 07:04:58  AM,2.690,,,,,
57,19/05/03 07:19:58  AM,2.690,,,,,
